Time,Latitude,Longitude,AccelX(m/s^2),AccelY(m/s^2),AccelZ(m/s^2),Abs_Altitude(m),mode,,
27895,0,0,6.38,6.2,4.21,0,0,,
28021,0,0,6.43,5.9,4.73,0,0,,
28149,0,0,5.99,6.72,3.75,0,0,,
28282,0,0,5.72,8.08,2.01,0,0,,
28433,0,0,4,9.08,3.46,0,0,,
28584,0,0,6.55,7.07,2.64,0,0,,
28735,0,0,5.67,7.26,3.52,0,0,,
28913,0,0,5.82,6.64,4.44,0,0,,
29040,0,0,6.62,6.72,5.49,0,0,,
29166,0,0,7.43,6.22,4.19,0,0,,
29300,0,0,7.79,6.53,3.12,0,0,,
29451,0,0,5.13,9.38,3.65,0,0,,
29602,0,0,4,8.23,3.41,0,0,,
29753,0,0,5,7.91,2.87,0,0,,
29931,0,0,5.23,8.75,4.11,0,0,,
30057,0,0,5.26,8.41,2.49,0,0,,
30183,0,0,4.63,8.2,4.46,0,0,,
30317,0,0,5.76,7.62,2.39,0,0,,
30468,0,0,7.08,6.28,2.45,0,0,,
30619,0,0,6.68,7.6,2.12,0,0,,
30770,0,0,7.79,7.41,1.68,0,0,,
30948,0,0,6.85,7.49,-0.36,0,0,,
31074,0,0,9.81,6.66,1.76,0,0,,
31202,0,0,8.1,6.82,-0.61,0,0,,
31335,0,0,7.39,4.44,-1.97,0,0,,
31486,0,0,12.83,5.9,-8.33,0,0,,
31637,0,0,4.61,2.49,-4.42,0,0,,
31788,0,0,2.33,-3.02,-2.79,0,0,,
31968,0,0,3.83,-1.99,-7.81,0,0,,
32094,0,0,5.92,-1.49,-9.29,0,0,,
32220,0,0,4.82,-1.37,-8.52,0,0,,
32353,0,0,4.38,-1.72,-8.2,0,0,,
32504,0,0,4.84,-2.1,-8.85,0,0,,
32655,0,0,4.54,-1.91,-8.6,0,0,,
32806,0,0,4.98,-2.29,-9.15,0,0,,
32986,0,0,3.85,-1.64,-7.07,0,0,,
33112,0,0,6.72,-1.09,-7.66,0,0,,
33238,0,0,7.07,0.76,-4.84,0,0,,
33371,0,0,9.56,0.78,-7.18,0,0,,
33522,0,0,6.28,0.11,-3.16,0,0,,
33673,0,0,8.87,4.65,-3.58,0,0,,
33824,0,0,6.07,10.28,-5.3,0,0,,
34004,0,0,-0.78,15.4,-7.35,0,0,,
34132,0,0,-6.3,8.02,-4.65,0,0,,
34258,0,0,-7.28,5.44,-3.69,0,0,,
34388,0,0,-8.16,4.13,-5.26,0,0,,
34539,0,0,-6.53,2.98,-4.82,0,0,,
34690,0,0,-6.38,3.39,-3.65,0,0,,
34841,0,0,-5.4,6.36,-4.04,0,0,,
35021,0,0,-6.51,9.48,-4.57,0,0,,
35147,0,0,-5.38,9.15,-3.77,0,0,,
35273,0,0,-4.67,9.52,-2.6,0,0,,
35406,0,0,-2.49,9.61,-1.11,0,0,,
35557,0,0,-2.75,10.32,-1.03,0,0,,
35708,0,0,-2.79,10.34,-1.45,0,0,,
35859,0,0,-1.05,10.05,-0.15,0,0,,
36040,0,0,-2.05,10.99,-0.03,0,0,,
36166,0,0,-1.78,10.32,-1.26,0,0,,
36292,0,0,-1.91,10.65,-0.53,0,0,,
36424,0,0,-0.32,10.65,0.28,0,0,,
36575,0,0,0.63,9.98,1.43,0,0,,
36726,0,0,-3.08,9.48,1.13,0,0,,
36877,0,0,-1.8,9.86,0.7,0,0,,
37058,0,0,-2.56,9.98,0.63,0,0,,
37184,0,0,-2.81,10.17,0.17,0,0,,
37310,0,0,-2.73,10.09,0.53,0,0,,
37442,0,0,-2.72,10.03,-0.34,0,0,,
37593,0,0,-2.85,10.34,0.11,0,0,,
37744,0,0,-3.02,10,-0.88,0,0,,
37895,0,0,-3.42,9.19,-1.22,0,0,,
38075,0,0,-3.54,10.82,-0.51,0,0,,
38201,0,0,-1.82,9.59,-0.24,0,0,,
38327,0,0,-2.62,10.59,-0.91,0,0,,
38460,0,0,-2.37,9.44,-1.13,0,0,,
38611,0,0,-2.89,10.19,-0.51,0,0,,
38762,0,0,-1.82,9.19,-1.11,0,0,,
38913,0,0,-2.35,9.75,-0.28,0,0,,
39093,0,0,-2.56,10.42,0.17,0,0,,
39219,0,0,-3.41,9.48,-1.55,0,0,,
39345,0,0,-2.29,10.07,0.05,0,0,,
39478,0,0,-2.85,10.28,-0.8,0,0,,
39629,0,0,-1.83,10.07,0.09,0,0,,
39780,0,0,-2.96,10.36,0.03,0,0,,
39931,0,0,-1.26,9.94,-1.24,0,0,,
40111,0,0,-1.7,10.9,-1.13,0,0,,
40237,0,0,-1.7,10.25,-0.26,0,0,,
40363,0,0,-2.26,10.03,-1.7,0,0,,
40496,0,0,-1.39,10.05,-1.32,0,0,,
40647,0,0,-3.64,11.49,-1.41,0,0,,
40798,0,0,-2.66,12.1,-4.88,0,0,,
40949,0,0,1.41,6.64,-5.49,0,0,,
41128,0,0,-7.93,6.28,-9.15,0,0,,
41254,0,0,-5.53,6.11,-9.02,0,0,,
41382,0,0,-4.98,5.05,-6.28,0,0,,
41514,0,0,-4.19,5.15,-8,0,0,,
41665,0,0,-3.88,4.4,-7.62,0,0,,
41816,0,0,-4.42,4.82,-7.52,0,0,,
41967,0,0,-4.98,4,-7.83,0,0,,
42147,0,0,-5.23,5.3,-9.56,0,0,,
42273,0,0,-2.79,4.98,-9.46,0,0,,
42399,0,0,-0.4,5.03,-6.7,0,0,,
42532,0,0,0.53,6.95,-9.54,0,0,,
42683,0,0,1.66,6.18,-8.54,0,0,,
42834,0,0,1.22,6.03,-6.87,0,0,,
42985,0,0,1.22,7.1,-9.77,0,0,,
43164,0,0,3.25,7.75,-7.89,0,0,,
43290,0,0,1.85,6.76,-6.41,0,0,,
43422,0,0,2.41,7.05,-7.58,0,0,,
43550,0,0,1.7,7.98,-5.61,0,0,,
43701,0,0,1.39,7.91,-6.8,0,0,,
43852,0,0,1.87,7.97,-6.7,0,0,,
44003,0,0,2.98,7.52,-7.26,0,0,,
44182,0,0,2.35,7.35,-6.11,0,0,,
44308,0,0,0.24,6.82,-6.51,0,0,,
44436,0,0,-0.4,7.91,-8.43,0,0,,
