
Time,Latitude,Longitude,AccelX(m/s^2),AccelY(m/s^2),AccelZ(m/s^2),Abs_Altitude(m),mode
46111,38.2612233,140.8485612,1.91,6.91,5.51,0.00,0
46232,38.2612233,140.8485612,-0.26,4.98,3.85,0.00,0
46377,38.2612233,140.8485612,2.45,6.93,5.69,0.00,0
46528,38.2612233,140.8485612,0.59,7.24,4.42,0.00,0
46679,38.2612233,140.8485612,2.20,9.61,5.21,0.00,0
46830,38.2612233,140.8485612,2.43,7.47,4.56,0.00,0
47006,38.2612233,140.8485612,1.57,9.88,-0.36,0.00,0
47127,38.2612233,140.8485612,1.89,8.16,2.72,0.00,0
47248,38.2612233,140.8485612,1.09,7.58,2.72,0.00,0
47395,38.2612233,140.8485612,1.24,9.33,1.82,0.00,0
47546,38.2612233,140.8485612,0.34,9.42,3.56,0.00,0
47697,38.2612233,140.8485612,0.19,9.56,2.18,0.00,0
47848,38.2612233,140.8485612,0.11,9.50,1.93,0.00,0
48024,38.2612233,140.8485612,2.22,8.31,3.44,0.00,0
48145,38.2612233,140.8485612,-0.11,10.48,5.51,0.00,0
48266,38.2612233,140.8485612,-2.60,10.65,5.61,0.00,0
48414,38.2612233,140.8485612,-3.67,8.43,2.26,0.00,0
48565,38.2612233,140.8485612,-1.28,7.26,3.50,0.00,0
48716,38.2612233,140.8485612,1.62,7.30,3.85,0.00,0
48867,38.2612233,140.8485612,0.32,7.64,2.06,0.00,0
49043,38.2612233,140.8485612,1.78,8.83,3.75,0.00,0
49164,38.2612233,140.8485612,1.49,9.08,3.58,0.00,0
49285,38.2612233,140.8485612,0.13,8.39,2.77,0.00,0
49432,38.2612233,140.8485612,1.70,8.41,3.87,0.00,0
49583,38.2612233,140.8485612,0.99,8.92,2.75,0.00,0
49734,38.2612233,140.8485612,0.76,8.64,2.98,0.00,0
49885,38.2612233,140.8485612,-0.42,9.04,3.35,0.00,0
50062,38.2612233,140.8485612,-0.34,8.44,3.00,0.00,0
50183,38.2612233,140.8485612,-0.99,9.19,4.13,0.00,0
50306,38.2612233,140.8485612,-2.89,11.11,4.77,0.00,0
50450,38.2612233,140.8485612,-2.45,4.54,8.79,0.00,0
50601,38.2612233,140.8485612,-0.88,-0.03,9.56,0.00,0
50752,38.2612233,140.8485612,-5.53,3.96,11.38,0.00,0
50903,38.2612233,140.8485612,-1.74,-0.30,7.20,0.00,0
51081,38.2612233,140.8485612,-2.81,-0.42,9.63,0.00,0
51202,38.2612233,140.8485612,-1.83,-0.95,9.88,0.00,0
51323,38.2612233,140.8485612,-2.18,-0.34,10.59,0.00,0
51468,38.2612233,140.8485612,-2.58,-0.82,9.52,0.00,0
51619,38.2612233,140.8485612,-3.31,-0.74,9.13,0.00,0
51770,38.2612233,140.8485612,-1.80,0.32,9.59,0.00,0
51921,38.2612233,140.8485612,-2.08,-0.47,10.03,0.00,0
